Date,Symbol,Close,EMA1,EMA2,MACD,SIGNAL
2015-01-02,QQQ,102.94,103.8389,103.9428,-0.104,-0.1462
2015-01-05,QQQ,101.43,103.4009,103.7035,-0.3026,-0.1658
2015-01-06,QQQ,100.07,102.7953,103.3575,-0.5622,-0.2153
2015-01-07,QQQ,101.36,102.5343,103.1672,-0.6329,-0.2675
2015-01-08,QQQ,103.3,102.6735,103.1799,-0.5063,-0.2974
2015-01-09,QQQ,102.62,102.6638,103.1266,-0.4628,-0.318
2015-01-12,QQQ,101.55,102.4613,102.9764,-0.5151,-0.3427
2015-01-13,QQQ,101.52,102.2901,102.8377,-0.5476,-0.3683
2015-01-14,QQQ,100.96,102.0483,102.6589,-0.6106,-0.3986
2015-01-15,QQQ,99.65,101.6122,102.3723,-0.7601,-0.4438
2015-01-16,QQQ,100.82,101.4682,102.2245,-0.7563,-0.4828
2015-01-20,QQQ,101.62,101.4958,102.1669,-0.6711,-0.5064
2015-01-21,QQQ,102.14,101.6129,102.1643,-0.5514,-0.512
2015-01-22,QQQ,104.03,102.0524,102.342,-0.2896,-0.4842
2015-01-23,QQQ,104.26,102.4538,102.5247,-0.0709,-0.4325
2015-01-26,QQQ,104.14,102.7604,102.6785,0.0818,-0.3682
2015-01-27,QQQ,101.44,102.5203,102.5606,-0.0403,-0.3272
2015-01-28,QQQ,100.92,102.2293,102.4043,-0.175,-0.3082
2015-01-29,QQQ,101.89,102.1676,102.3553,-0.1877,-0.2931
2015-01-30,QQQ,101.1,101.9735,102.2358,-0.2623,-0.2893
2015-02-02,QQQ,101.98,101.9747,102.2114,-0.2367,-0.2827
2015-02-03,QQQ,102.96,102.1538,102.2827,-0.1289,-0.2635
2015-02-04,QQQ,102.87,102.2841,102.3387,-0.0546,-0.2374
2015-02-05,QQQ,103.76,102.5524,102.474,0.0784,-0.1979
2015-02-06,QQQ,103.13,102.6574,102.5365,0.1209,-0.1581
2015-02-09,QQQ,102.8,102.6833,102.5616,0.1218,-0.1231
2015-02-10,QQQ,104.4,102.9955,102.7367,0.2588,-0.0753
2015-02-11,QQQ,104.78,103.3199,102.9313,0.3886,-0.0173
2015-02-12,QQQ,106.0,103.8072,103.2235,0.5837,0.0578
2015-02-13,QQQ,106.91,104.3714,103.5746,0.7967,0.1502
2015-02-17,QQQ,107.01,104.8511,103.9018,0.9493,0.25
2015-02-18,QQQ,107.16,105.2709,104.2121,1.0588,0.3511
2015-02-19,QQQ,107.69,105.7107,104.5433,1.1674,0.4532
2015-02-20,QQQ,108.41,106.2015,104.9116,1.2899,0.5578
2015-02-23,QQQ,108.52,106.6231,105.2552,1.3678,0.659
2015-02-24,QQQ,108.6,106.9825,105.5738,1.4087,0.7527
2015-02-25,QQQ,108.33,107.2275,105.8363,1.3912,0.8325
2015-02-26,QQQ,108.88,107.528,106.1262,1.4018,0.9037
2015-02-27,QQQ,108.4,107.6865,106.3427,1.3438,0.9587
2015-03-02,QQQ,109.38,107.9944,106.632,1.3624,1.0092
2015-03-03,QQQ,108.87,108.1536,106.8451,1.3085,1.0466
2015-03-04,QQQ,108.45,108.2075,106.998,1.2095,1.067
2015-03-05,QQQ,108.64,108.2861,107.1544,1.1318,1.0751
2015-03-06,QQQ,107.41,108.1268,107.1787,0.9481,1.0592
2015-03-09,QQQ,107.72,108.0529,107.2303,0.8226,1.0296
2015-03-10,QQQ,105.72,107.6287,107.0864,0.5423,0.9687
2015-03-11,QQQ,105.11,107.1708,106.8982,0.2726,0.8817
2015-03-12,QQQ,105.8,106.9215,106.7936,0.1279,0.7875
2015-03-13,QQQ,105.34,106.634,106.6552,-0.0212,0.6864
2015-03-16,QQQ,106.7,106.646,106.6594,-0.0134,0.5989
2015-03-17,QQQ,106.87,106.6867,106.6795,0.0072,0.5249
2015-03-18,QQQ,107.92,106.9109,106.7976,0.1133,0.4735
2015-03-19,QQQ,108.08,107.1235,106.9198,0.2037,0.4398
2015-03-20,QQQ,108.53,107.3792,107.0731,0.3061,0.4231
2015-03-23,QQQ,108.32,107.5503,107.1919,0.3584,0.415
2015-03-24,QQQ,107.93,107.6193,107.2622,0.3572,0.4078
2015-03-25,QQQ,105.46,107.2267,107.0905,0.1362,0.3738
2015-03-26,QQQ,105.1,106.84,106.901,-0.0609,0.3195
2015-03-27,QQQ,105.52,106.6,106.7694,-0.1694,0.2584
2015-03-30,QQQ,106.73,106.6237,106.7657,-0.142,0.2083
2015-03-31,QQQ,105.6,106.4375,106.6547,-0.2171,0.1551
2015-04-01,QQQ,105.05,106.1853,106.5018,-0.3166,0.0962
2015-04-02,QQQ,105.12,105.9916,106.3702,-0.3787,0.0368
2015-04-06,QQQ,105.98,105.9895,106.3331,-0.3436,-0.0107
2015-04-07,QQQ,105.8,105.955,106.2823,-0.3273,-0.0503
2015-04-08,QQQ,106.64,106.0796,106.3164,-0.2368,-0.0736
2015-04-09,QQQ,107.31,106.3033,106.411,-0.1077,-0.0779
2015-04-10,QQQ,107.75,106.5663,106.5385,0.0278,-0.0647
2015-04-13,QQQ,107.48,106.7324,106.6282,0.1043,-0.0436
2015-04-14,QQQ,107.17,106.812,106.6798,0.1322,-0.0216
2015-04-15,QQQ,107.84,106.9989,106.7903,0.2086,0.0072
2015-04-16,QQQ,107.69,107.1246,106.876,0.2486,0.0374
2015-04-17,QQQ,106.01,106.9219,106.7935,0.1284,0.0487
2015-04-20,QQQ,107.6,107.0452,106.8703,0.1749,0.0645
2015-04-21,QQQ,108.06,107.2297,106.9836,0.2461,0.0872
2015-04-22,QQQ,108.65,107.4879,107.1423,0.3456,0.1195
2015-04-23,QQQ,109.06,107.7738,107.325,0.4488,0.1607
2015-04-24,QQQ,110.54,108.2767,107.6311,0.6456,0.2213
2015-04-27,QQQ,110.26,108.6373,107.8815,0.7558,0.2881
2015-04-28,QQQ,110.04,108.8924,108.0871,0.8053,0.3528
2015-04-29,QQQ,109.35,108.9756,108.2074,0.7682,0.4047
2015-04-30,QQQ,107.63,108.7309,108.1524,0.5785,0.4264
2015-05-01,QQQ,109.05,108.7889,108.2379,0.5511,0.442
2015-05-04,QQQ,109.23,108.8691,108.3324,0.5368,0.4538
2015-05-05,QQQ,107.45,108.6111,108.2483,0.3628,0.4425
2015-05-06,QQQ,106.71,108.2654,108.1018,0.1636,0.4076
2015-05-07,QQQ,107.35,108.099,108.0302,0.0688,0.3653
2015-05-08,QQQ,108.69,108.2065,108.093,0.1134,0.3338
2015-05-11,QQQ,108.27,108.218,108.1099,0.1081,0.3056
2015-05-12,QQQ,107.78,108.1384,108.0785,0.0599,0.2749
2015-05-13,QQQ,108.0,108.1132,108.071,0.0422,0.2458
2015-05-14,QQQ,109.58,108.3799,108.2147,0.1652,0.2357
2015-05-15,QQQ,109.58,108.5981,108.3447,0.2534,0.2379
2015-05-18,QQQ,110.06,108.8639,108.5081,0.3558,0.2526
2015-05-19,QQQ,109.94,109.0596,108.6445,0.4151,0.2729
2015-05-20,QQQ,110.01,109.2324,108.7745,0.4578,0.2961
2015-05-21,QQQ,110.58,109.4774,108.9465,0.5309,0.3254
2015-05-22,QQQ,110.47,109.6579,109.0916,0.5663,0.3555
2015-05-26,QQQ,109.2,109.5746,109.1019,0.4727,0.3702
2015-05-27,QQQ,110.96,109.8265,109.2789,0.5476,0.3924
2015-05-28,QQQ,110.71,109.9871,109.4152,0.572,0.4148
2015-05-29,QQQ,110.05,109.9986,109.4756,0.5229,0.4283
2015-06-01,QQQ,110.42,110.0752,109.5656,0.5096,0.4385
2015-06-02,QQQ,110.07,110.0742,109.6136,0.4606,0.4413
2015-06-03,QQQ,110.4,110.1335,109.6885,0.445,0.4417
2015-06-04,QQQ,109.56,110.0292,109.6763,0.3529,0.4306
2015-06-05,QQQ,109.3,109.8966,109.6404,0.2562,0.4088
2015-06-08,QQQ,108.19,109.5863,109.5023,0.084,0.3682
2015-06-09,QQQ,108.01,109.2997,109.3602,-0.0604,0.3146
2015-06-10,QQQ,109.49,109.3343,109.3725,-0.0382,0.2705
2015-06-11,QQQ,109.65,109.3917,109.399,-0.0072,0.2358
2015-06-12,QQQ,108.75,109.275,109.3372,-0.0621,0.1986
2015-06-15,QQQ,108.21,109.0814,109.2298,-0.1484,0.1552
2015-06-16,QQQ,108.8,109.0302,109.1889,-0.1586,0.116
2015-06-17,QQQ,109.1,109.0429,109.1804,-0.1375,0.0843
2015-06-18,QQQ,110.69,109.3424,109.3242,0.0182,0.076
2015-06-19,QQQ,109.89,109.442,109.3781,0.0639,0.0745
2015-06-22,QQQ,110.7,109.6707,109.504,0.1667,0.086
2015-06-23,QQQ,110.79,109.8742,109.6264,0.2478,0.1063
2015-06-24,QQQ,110.22,109.9371,109.683,0.2541,0.1247
2015-06-25,QQQ,110.0,109.9485,109.7132,0.2353,0.1386
2015-06-26,QQQ,109.27,109.8251,109.671,0.1542,0.1405
2015-06-29,QQQ,106.69,109.2551,109.3871,-0.1319,0.1065
2015-06-30,QQQ,107.07,108.8578,109.1664,-0.3086,0.0546
2015-07-01,QQQ,107.92,108.6873,109.0477,-0.3604,0.0027
2015-07-02,QQQ,107.95,108.5533,108.9431,-0.3899,-0.0464
