Date,Symbol,Close,EMA1,EMA2,MACD,SIGNAL
2015-01-02,SPY,205.43,206.3589,205.9542,0.4047,0.1399
2015-01-05,SPY,201.72,205.5155,205.551,-0.0355,0.118
2015-01-06,SPY,199.82,204.48,205.0052,-0.5252,0.0376
2015-01-07,SPY,202.31,204.0854,204.7485,-0.6631,-0.05
2015-01-08,SPY,205.9,204.4153,204.8582,-0.4428,-0.0991
2015-01-09,SPY,204.25,204.3853,204.8002,-0.415,-0.1386
2015-01-12,SPY,202.65,204.0698,204.5954,-0.5257,-0.187
2015-01-13,SPY,202.08,203.708,204.3559,-0.6479,-0.2446
2015-01-14,SPY,200.86,203.1902,204.0229,-0.8328,-0.3181
2015-01-15,SPY,199.02,202.432,203.5465,-1.1145,-0.4177
2015-01-16,SPY,201.63,202.2862,203.3639,-1.0778,-0.5002
2015-01-20,SPY,202.06,202.245,203.2398,-0.9947,-0.562
2015-01-21,SPY,203.08,202.3968,203.2245,-0.8277,-0.5952
2015-01-22,SPY,206.1,203.0701,203.4984,-0.4283,-0.5743
2015-01-23,SPY,204.97,203.4156,203.6386,-0.223,-0.5304
2015-01-26,SPY,205.45,203.7855,203.8111,-0.0256,-0.4673
2015-01-27,SPY,202.74,203.5954,203.7091,-0.1137,-0.4231
2015-01-28,SPY,200.14,202.9671,203.3692,-0.402,-0.4205
2015-01-29,SPY,201.99,202.7895,203.2378,-0.4483,-0.424
2015-01-30,SPY,199.45,202.1823,202.8771,-0.6948,-0.4578
2015-02-02,SPY,201.92,202.1346,202.7859,-0.6513,-0.482
2015-02-03,SPY,204.84,202.6265,202.9815,-0.355,-0.4661
2015-02-04,SPY,204.06,202.8871,203.0843,-0.1971,-0.4325
2015-02-05,SPY,206.12,203.4749,203.3734,0.1016,-0.3657
2015-02-06,SPY,205.55,203.8522,203.5807,0.2715,-0.2861
2015-02-09,SPY,204.63,203.9936,203.6806,0.313,-0.2112
2015-02-10,SPY,206.81,204.5057,203.9786,0.5271,-0.1189
2015-02-11,SPY,206.93,204.9465,204.2597,0.6868,-0.0182
2015-02-12,SPY,208.92,205.6689,204.7036,0.9654,0.1047
2015-02-13,SPY,209.78,206.4164,205.187,1.2294,0.2453
2015-02-17,SPY,210.11,207.088,205.6559,1.4321,0.3937
2015-02-18,SPY,210.13,207.6411,206.082,1.5591,0.5393
2015-02-19,SPY,209.98,208.0663,206.4532,1.6131,0.6736
2015-02-20,SPY,211.24,208.6434,206.9091,1.7342,0.8061
2015-02-23,SPY,211.21,209.11,207.3187,1.7913,0.9293
2015-02-24,SPY,211.81,209.6009,207.7465,1.8545,1.0449
2015-02-25,SPY,211.63,209.9698,208.1163,1.8535,1.146
2015-02-26,SPY,211.38,210.2262,208.4271,1.7991,1.2276
2015-02-27,SPY,210.66,210.3051,208.6398,1.6653,1.2824
2015-03-02,SPY,211.99,210.6114,208.9589,1.6526,1.3286
2015-03-03,SPY,211.12,210.7039,209.1647,1.5392,1.355
2015-03-04,SPY,210.23,210.6177,209.2661,1.3516,1.3545
2015-03-05,SPY,210.46,210.5891,209.3798,1.2092,1.3364
2015-03-06,SPY,207.5,210.0274,209.2008,0.8266,1.2726
2015-03-09,SPY,208.36,209.7243,209.1207,0.6035,1.189
2015-03-10,SPY,204.98,208.8617,208.7264,0.1353,1.0573
2015-03-11,SPY,204.5,208.0686,208.3239,-0.2552,0.8932
2015-03-12,SPY,207.1,207.8925,208.2073,-0.3148,0.7422
2015-03-13,SPY,205.83,207.5175,207.9809,-0.4634,0.5915
2015-03-16,SPY,208.58,207.7107,208.038,-0.3273,0.4767
2015-03-17,SPY,207.96,207.756,208.0305,-0.2745,0.3828
2015-03-18,SPY,210.46,208.2477,208.2619,-0.0143,0.3331
2015-03-19,SPY,209.5,208.4754,208.3798,0.0955,0.3034
2015-03-20,SPY,210.41,208.8271,208.5732,0.2539,0.2973
2015-03-23,SPY,210.0,209.0404,208.7091,0.3313,0.3015
2015-03-24,SPY,208.82,209.0003,208.7196,0.2807,0.2989
2015-03-25,SPY,205.76,208.4112,208.4378,-0.0266,0.2582
2015-03-26,SPY,205.27,207.84,208.1361,-0.296,0.1889
2015-03-27,SPY,205.74,207.4582,207.9079,-0.4497,0.1091
2015-03-30,SPY,208.25,207.6022,207.9405,-0.3383,0.0532
2015-03-31,SPY,206.43,207.389,207.7966,-0.4076,-0.0044
2015-04-01,SPY,205.7,207.0819,207.5969,-0.515,-0.0682
2015-04-02,SPY,206.44,206.9652,207.4867,-0.5215,-0.1249
2015-04-06,SPY,207.83,207.1225,207.5194,-0.397,-0.1589
2015-04-07,SPY,207.28,207.1511,207.4966,-0.3455,-0.1822
2015-04-08,SPY,207.98,207.3018,207.5427,-0.2409,-0.1896
2015-04-09,SPY,208.9,207.5924,207.6719,-0.0795,-0.1758
2015-04-10,SPY,210.04,208.0374,207.8975,0.1399,-0.1363
2015-04-13,SPY,209.09,208.2288,208.011,0.2178,-0.0921
2015-04-14,SPY,209.49,208.4581,208.1519,0.3062,-0.0423
2015-04-15,SPY,210.43,208.8166,208.3689,0.4478,0.019
2015-04-16,SPY,210.37,209.0991,208.5594,0.5396,0.0841
2015-04-17,SPY,207.95,208.8901,208.5014,0.3887,0.1221
2015-04-20,SPY,209.85,209.0647,208.6298,0.4348,0.1612
2015-04-21,SPY,209.6,209.162,208.7222,0.4398,0.196
2015-04-22,SPY,210.63,209.4289,208.9039,0.525,0.2372
2015-04-23,SPY,211.16,209.7436,209.1188,0.6249,0.2856
2015-04-24,SPY,211.65,210.0903,209.3599,0.7304,0.3412
2015-04-27,SPY,210.77,210.2138,209.4942,0.7197,0.3885
2015-04-28,SPY,211.44,210.4368,209.6795,0.7573,0.4346
